data,pose
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image1,"[ 9.99980747e-01 -5.42521393e-17  9.21711579e-17  0.00000000e+00
 -5.42521393e-17  9.99980747e-01 -5.28919770e-17  0.00000000e+00
  9.21711579e-17 -5.28919770e-17  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image2,"[ 0.92512037 -0.29780894 -0.2354245  -0.02260642  0.26471413  0.06157092
  0.96234857 -0.01768323 -0.27210595 -0.9526268   0.13579997 -0.00310341
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image3,"[ 0.98573564  0.15947669 -0.05342263  0.01417155 -0.14111363  0.61141299
 -0.77861047 -0.03033108 -0.09150869  0.77505767  0.62521999  0.01726959
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image4,"[ 0.85655985  0.23595376 -0.45890805  0.0078477  -0.46286455 -0.04175706
 -0.88543173 -0.05961065 -0.22808799  0.97085623  0.07345004  0.03820168
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image5,"[ 0.67534066  0.10288648 -0.73027469 -0.00582534 -0.4027727  -0.77802438
 -0.4820977  -0.04594479 -0.61778474  0.61972682 -0.48401027  0.01824175
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image6,"[ 0.40349762  0.02049833 -0.91473881 -0.01774829 -0.85816296 -0.33826749
 -0.38612927 -0.00765571 -0.31734751  0.94081532 -0.1189038   0.05202875
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image7,"[ 0.84548116 -0.04419194 -0.53214248 -0.01126952  0.02065117  0.99851084
 -0.05011153 -0.01533904  0.53357484  0.03137959  0.84516727  0.02911551
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image8,"[ 8.76194824e-01 -2.15635138e-01 -4.30986297e-01  1.03539237e-02
  4.81917098e-01  3.92401389e-01  7.83422218e-01  2.65904635e-02
  1.86266995e-04 -8.94147373e-01  4.47755567e-01  7.33979139e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image9,"[ 0.65357344  0.05222159 -0.75504114  0.00699989 -0.11173099  0.99332417
 -0.02801417 -0.01324813  0.74855208  0.10267279  0.65507029  0.09737951
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image10,"[ 0.08894335 -0.6887241  -0.71952739  0.02230586  0.95302901 -0.15108834
  0.26243255 -0.05065227 -0.28946139 -0.70908575  0.6429605   0.1062521
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image11,"[ 0.16644436 -0.32797191 -0.92989722 -0.00668497  0.94718887  0.31526218
  0.05834855 -0.04748819  0.27403001 -0.89051724  0.36313894  0.21393431
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image12,"[ 0.91525349 -0.18115821 -0.35980097  0.01899879  0.32574022  0.85829405
  0.39647087 -0.00202206  0.23699564 -0.48008224  0.84459966  0.03382381
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image13,"[ 0.97871771 -0.08599539 -0.18622192  0.0195468   0.02918092  0.95699441
 -0.28857109 -0.03238567  0.20303303  0.27700085  0.93917296  0.02245071
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image14,"[ 0.80180408  0.18930926 -0.56678029  0.00132218 -0.28124643 -0.71729349
 -0.63746358 -0.05055137 -0.52723573  0.67053874 -0.52190639  0.004008
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image15,"[ 0.94320695 -0.19243199 -0.27072769 -0.02775476  0.21136851 -0.28097804
  0.93613731  0.00525006 -0.25621623 -0.94021263 -0.22435502  0.00256213
  0.          0.          0.          1.        ]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/red_block/image16,"[ 0.63618565 -0.18489991 -0.74903414  0.00135155  0.77102912  0.11806273
  0.62573503 -0.0200284  -0.02726586 -0.97562956  0.21768141  0.02958734
  0.          0.          0.          1.        ]"
